LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DO
1658859110.801278,3968110.000,47457,34,DO,2,100,PI
1658859110.801278,3968110.000,47457,34,DO,2,100,25
1658859110.801278,3968110.000,47457,34,DO,2,100,PR
1658859110.801278,3968110.000,47457,34,DO,2,100,25
1658859110.801278,3968110.000,47457,34,DO,2,100,PG
1658859110.801278,3968110.000,47457,34,DO,2,100,25
1658859110.801278,3968110.000,47457,34,DO,2,100,EA
1658859110.801278,3968110.000,47457,34,DO,2,100,21
1658859110.801278,3968110.000,47457,34,DO,2,100,EL
1658859110.801278,3968110.000,47457,34,DO,2,100,21
1658859110.801278,3968110.000,47457,34,DO,2,100,T1
1658859110.801278,3968110.000,47457,34,DO,2,100,10
1658859110.801278,3968110.000,47457,34,DO,2,100,TH
1658859110.801278,3968110.000,47457,34,DO,2,100,10
1658859110.801278,3968110.000,47457,34,DO,2,100,AX
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,AY
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,AZ
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,GX
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,GY
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,GZ
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,MX
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,MY
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,MZ
1658859110.801278,3968110.000,47457,34,DO,2,100,51
1658859110.801278,3968110.000,47457,34,DO,2,100,B%
1658859110.801278,3968110.000,47457,34,DO,2,100,2
1658859111.102158,3968403.471,47486,34,DO,2,100,PI
1658859111.403037,3968696.941,47486,34,DO,2,100,209
1658859111.703917,3968990.412,47486,34,DO,2,100,PR
1658859112.004796,3969283.882,47486,34,DO,2,100,209
1658859112.305676,3969577.353,47486,34,DO,2,100,PG
1658859112.606555,3969870.824,47486,34,DO,2,100,209
1658859112.907434,3970164.294,47486,34,DO,2,100,EA
1658859113.208314,3970457.765,47486,34,DO,2,100,132
1658859113.509193,3970751.235,47486,34,DO,2,100,EL
1658859113.810073,3971044.706,47486,34,DO,2,100,132
1658859114.110952,3971338.176,47486,34,DO,2,100,T1
1658859114.411832,3971631.647,47486,34,DO,2,100,64
1658859114.712711,3971925.118,47486,34,DO,2,100,TH
1658859115.013591,3972218.588,47486,34,DO,2,100,64
1658859115.314470,3972512.059,47486,34,DO,2,100,AX
1658859115.615350,3972805.529,47486,34,DO,2,100,204
1658859115.916229,3973099.000,47486,34,DO,2,100,AY
1658859116.217108,3973392.471,47486,34,DO,2,100,204
1658859116.517988,3973685.941,47486,34,DO,2,100,AZ
1658859116.818867,3973979.412,47486,34,DO,2,100,204
1658859117.119747,3974272.882,47486,34,DO,2,100,GX
1658859117.420626,3974566.353,47486,34,DO,2,100,204
1658859117.721506,3974859.824,47486,34,DO,2,100,GY
1658859118.022385,3975153.294,47486,34,DO,2,100,204
1658859118.323265,3975446.765,47486,34,DO,2,100,GZ
1658859118.624144,3975740.235,47486,34,DO,2,100,204
1658859118.925024,3976033.706,47486,34,DO,2,100,MX
1658859119.225903,3976327.176,47486,34,DO,2,100,204
1658859119.526783,3976620.647,47486,34,DO,2,100,MY
1658859119.827662,3976914.118,47486,34,DO,2,100,204
1658859120.128542,3977207.588,47486,34,DO,2,100,MZ
1658859120.429421,3977501.059,47486,34,DO,2,100,204
1658859120.730300,3977794.529,47486,34,DO,2,100,B%
1658859121.031180,3978088.000,47486,34,DO,2,100,10
1658859121.290869,3978341.294,47514,34,DO,2,100,PI
1658859121.550557,3978594.588,47514,34,DO,2,100,173
1658859121.810246,3978847.882,47514,34,DO,2,100,PR
1658859122.069935,3979101.176,47514,34,DO,2,100,173
1658859122.329623,3979354.471,47514,34,DO,2,100,PG
1658859122.589312,3979607.765,47514,34,DO,2,100,173
1658859122.849001,3979861.059,47514,34,DO,2,100,EA
1658859123.108690,3980114.353,47514,34,DO,2,100,111
1658859123.368378,3980367.647,47514,34,DO,2,100,EL
1658859123.628067,3980620.941,47514,34,DO,2,100,111
1658859123.887756,3980874.235,47514,34,DO,2,100,T1
1658859124.147444,3981127.529,47514,34,DO,2,100,54
1658859124.407133,3981380.824,47514,34,DO,2,100,TH
1658859124.666822,3981634.118,47514,34,DO,2,100,54
1658859124.926511,3981887.412,47514,34,DO,2,100,AX
1658859125.186199,3982140.706,47514,34,DO,2,100,204
1658859125.445888,3982394.000,47514,34,DO,2,100,AY
1658859125.705577,3982647.294,47514,34,DO,2,100,204
1658859125.965266,3982900.588,47514,34,DO,2,100,AZ
1658859126.224954,3983153.882,47514,34,DO,2,100,204
1658859126.484643,3983407.176,47514,34,DO,2,100,GX
1658859126.744332,3983660.471,47514,34,DO,2,100,204
1658859127.004020,3983913.765,47514,34,DO,2,100,GY
1658859127.263709,3984167.059,47514,34,DO,2,100,204
1658859127.523398,3984420.353,47514,34,DO,2,100,GZ
1658859127.783087,3984673.647,47514,34,DO,2,100,204
1658859128.042775,3984926.941,47514,34,DO,2,100,MX
1658859128.302464,3985180.235,47514,34,DO,2,100,204
1658859128.562153,3985433.529,47514,34,DO,2,100,MY
1658859128.821841,3985686.824,47514,34,DO,2,100,204
1658859129.081530,3985940.118,47514,34,DO,2,100,MZ
1658859129.341219,3986193.412,47514,34,DO,2,100,204
1658859129.600908,3986446.706,47514,34,DO,2,100,B%
1658859129.860596,3986700.000,47514,34,DO,2,100,7
1658859130.117270,3986950.353,47542,34,DO,2,100,PI
1658859130.373943,3987200.706,47542,34,DO,2,100,171
1658859130.630616,3987451.059,47542,34,DO,2,100,PR
1658859130.887289,3987701.412,47542,34,DO,2,100,171
1658859131.143963,3987951.765,47542,34,DO,2,100,PG
1658859131.400636,3988202.118,47542,34,DO,2,100,171
1658859131.657309,3988452.471,47542,34,DO,2,100,EA
1658859131.913982,3988702.824,47542,34,DO,2,100,110
1658859132.170656,3988953.176,47542,34,DO,2,100,EL
1658859132.427329,3989203.529,47542,34,DO,2,100,110
1658859132.684002,3989453.882,47542,34,DO,2,100,T1
1658859132.940675,3989704.235,47542,34,DO,2,100,53
1658859133.197349,3989954.588,47542,34,DO,2,100,TH
1658859133.454022,3990204.941,47542,34,DO,2,100,53
1658859133.710696,3990455.294,47542,34,DO,2,100,AX
1658859133.967369,3990705.647,47542,34,DO,2,100,204
1658859134.224042,3990956.000,47542,34,DO,2,100,AY
1658859134.480715,3991206.353,47542,34,DO,2,100,204
1658859134.737389,3991456.706,47542,34,DO,2,100,AZ
1658859134.994062,3991707.059,47542,34,DO,2,100,204
1658859135.250735,3991957.412,47542,34,DO,2,100,GX
1658859135.507408,3992207.765,47542,34,DO,2,100,204
1658859135.764082,3992458.118,47542,34,DO,2,100,GY
1658859136.020755,3992708.471,47542,34,DO,2,100,204
1658859136.277428,3992958.824,47542,34,DO,2,100,GZ
1658859136.534101,3993209.176,47542,34,DO,2,100,204
1658859136.790775,3993459.529,47542,34,DO,2,100,MX
1658859137.047448,3993709.882,47542,34,DO,2,100,204
1658859137.304121,3993960.235,47542,34,DO,2,100,MY
1658859137.560795,3994210.588,47542,34,DO,2,100,204
1658859137.817468,3994460.941,47542,34,DO,2,100,MZ
1658859138.074141,3994711.294,47542,34,DO,2,100,204
1658859138.330815,3994961.647,47542,34,DO,2,100,B%
1658859138.587488,3995212.000,47542,34,DO,2,100,8
1658859138.692832,3995314.750,47579,4,DO,2,100,EA
1658859138.798176,3995417.500,47579,4,DO,2,100,1
1658859138.903520,3995520.250,47579,4,DO,2,100,EL
1658859139.008864,3995623.000,47579,4,DO,2,100,1
