response,predicted response
-3.0,1.2171203647523778
-3.0,1.587893426651774
4.0,1.453593664511318
-4.0,1.855959967762406
4.0,1.433700152966972
4.0,1.2812845048781731
-4.0,2.0329102409721687
3.0,1.6795562582923014
4.0,1.3912637628431368
4.0,1.1956352134990194
4.0,1.0539716749961803
-4.0,0.9460168196309533
3.0,1.1962215248466854
-4.0,-0.6808078874000281
4.0,1.3374513478672967
4.0,1.21819334457553
4.0,0.6923496686008972
-3.0,0.7585494210565422
-3.0,0.3948815404668238
4.0,1.6220215241990685
2.0,0.6707839733348091
-3.0,0.4795295139737268
-3.0,0.13707206813141704
-3.0,0.9831186422305371
3.0,0.8225037194827285
3.0,1.5620948931709495
3.0,1.289028467702378
4.0,1.252313728254258
4.0,1.1795183906534092
4.0,0.8198732408440843
4.0,0.13795871978486107
-4.0,0.1673940166670318
-4.0,0.869480587871571
-4.0,0.9879901189904856
-3.0,0.5753327115634279
-4.0,1.212675983488687
-4.0,1.5822918581198706
4.0,0.793018554834189
4.0,0.012595006625682581
4.0,0.25663216831733826
-3.0,-0.6775626492898199
3.0,-1.668464656901569
3.0,0.6061205807360845
-3.0,1.4218108906154898
-3.0,0.16039664331968662
-3.0,0.009483708712590078
3.0,0.7226391184236325
-3.0,0.15569624584895014
3.0,-0.16730201840997894
3.0,-0.5135113125933313
3.0,-0.1930906751854995
4.0,-0.7556336789662705
-4.0,1.9982422675949432
-4.0,1.6489709219644213
3.0,1.4115191557533195
-4.0,0.6747051350175355
3.0,1.116602943983654
3.0,0.9157571818978056
-3.0,0.26269776847873305
3.0,1.1129655158147853
-3.0,1.2130624144058957
3.0,0.8562597076277669
3.0,0.39819793222079025
4.0,1.321696030082508
4.0,1.2025663935324349
-4.0,0.38041808419740497
-4.0,-0.2812830125440511
4.0,0.655490000363075
-4.0,-1.1326512557176474
-3.0,0.6159676334917854
-4.0,0.11961020375811793
-3.0,-0.9129597530826727
4.0,-0.09226892036799961
3.0,-0.428442999655551
3.0,-0.09153190365466979
3.0,-0.08321264589692601
3.0,0.31627555390257966
-3.0,0.6906220312320481
3.0,0.7939051246380526
-4.0,0.7099331190131897
3.0,0.998172785143298
3.0,0.7243358872486849
-4.0,0.7145724477840882
-4.0,1.3404978065786117
4.0,2.191923732449883
4.0,0.769973925174211
3.0,1.0172867920858748
4.0,2.267818474575149
4.0,0.03140492482712065
-4.0,-0.22985182498889967
-3.0,0.5070120295110978
4.0,0.9754076196242767
